Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,Unnamed_9,Unnamed_10,Date
SHL,485.0,-1.62,494.90,481.20,493.00,"30,616",,,,,2024-12-15 01:55:11
SHLB,2432.0,-3.07,"2,558.90","2,414.00","2,558.90","3,234",,,,,2024-12-15 01:55:11
SHPC,538.5,-1.73,555.00,538.00,550.00,"72,025",,,,,2024-12-15 01:55:11
SICL,826.8,-0.39,839.00,810.00,830.00,"4,559",,,,,2024-12-15 01:55:11
SIFC,629.8,-2.81,660.90,625.00,660.90,"18,331",,,,,2024-12-15 01:55:11
SIGS2,9.85,1.23,9.85,9.60,9.60,"39,800",,,,,2024-12-15 01:55:11
SIGS3,9.81,-0.41,9.81,9.68,9.68,500,,,,,2024-12-15 01:55:11
SIKLES,796.0,-1.49,820.00,794.00,810.00,"15,565",,,,,2024-12-15 01:55:11
SINDU,955.0,-3.44,"1,008.00",940.00,988.00,"29,766",,,,,2024-12-15 01:55:11
SJCL,368.0,-1.08,374.00,366.00,372.00,"28,245",,,,,2024-12-15 01:55:11
SJLIC,462.0,-0.88,471.00,458.50,467.00,"28,018",,,,,2024-12-15 01:55:11
SKBBL,923.0,0.11,933.90,922.00,922.00,"30,575",,,,,2024-12-15 01:55:11
SLBBL,939.9,-1.06,964.50,932.60,950.10,"16,562",,,,,2024-12-15 01:55:11
SLBSL,1700.0,-0.58,"1,774.00","1,696.00","1,744.20","3,658",,,,,2024-12-15 01:55:11
SLCF,9.7,-0.72,9.70,9.58,9.58,"6,440",,,,,2024-12-15 01:55:11
SMATA,850.1,-0.46,867.00,845.00,850.00,"2,982",,,,,2024-12-15 01:55:11
SMB,2617.0,-1.99,"2,703.00","2,617.00","2,671.00","2,425",,,,,2024-12-15 01:55:11
SMFBS,2123.0,-6.06,"2,215.00","2,034.00","2,215.00","8,558",,,,,2024-12-15 01:55:11
SMH,1011.0,0.9,"1,042.00",992.10,"1,022.00","2,312",,,,,2024-12-15 01:55:11
SMHL,1046.0,-0.37,"1,112.00","1,011.00","1,029.00","26,543",,,,,2024-12-15 01:55:11
SMJC,549.0,-1.08,564.90,545.30,564.90,"18,131",,,,,2024-12-15 01:55:11
SMPDA,957.0,-1.34,"1,009.00",952.20,989.40,"3,013",,,,,2024-12-15 01:55:11
SNLI,649.0,-1.08,660.00,645.00,650.00,"29,991",,,,,2024-12-15 01:55:11
SONA,467.0,0.43,484.00,460.00,460.00,"94,309",,,,,2024-12-15 01:55:11
SPC,544.0,-2.63,562.00,539.60,559.00,"62,398",,,,,2024-12-15 01:55:11
SPDL,334.9,0.24,343.20,332.00,337.00,"174,021",,,,,2024-12-15 01:55:11
SPHL,785.0,-1.26,810.90,770.00,810.90,"5,589",,,,,2024-12-15 01:55:11
SPIL,805.0,-1.75,835.90,805.00,835.60,"5,827",,,,,2024-12-15 01:55:11
SPL,983.0,0.43,"1,017.00",959.30,959.30,"7,839",,,,,2024-12-15 01:55:11
SRLI,425.0,-1.85,437.60,425.00,433.30,"64,156",,,,,2024-12-15 01:55:11
SSHL,241.0,-2.82,251.00,240.30,249.90,"123,383",,,,,2024-12-15 01:55:11
STC,5770.0,-0.69,"5,924.00","5,770.00","5,898.80","1,818",,,,,2024-12-15 01:55:11
SWBBL,894.0,-0.67,910.00,880.20,910.00,"13,307",,,,,2024-12-15 01:55:11
SWMF,783.0,-0.76,795.00,781.00,781.00,"1,791",,,,,2024-12-15 01:55:11
TAMOR,532.0,-1.12,544.80,524.00,538.00,"53,017",,,,,2024-12-15 01:55:11
TPC,563.2,0.75,572.00,550.00,550.00,"49,286",,,,,2024-12-15 01:55:11
TRH,1098.0,-3.98,"1,145.10","1,075.00","1,141.00","10,766",,,,,2024-12-15 01:55:11
TSHL,875.0,-1.69,897.80,872.20,880.00,"7,275",,,,,2024-12-15 01:55:11
